subj,sport,gender,orientation,age,education,race,hispanic_or_latino,Running,CrossFit,Rock climbing,Yoga/Pilates,Cycling,Weightlifting,Hiking,Swimming,Other (please specify),duration,frequency,percent women,current_frame_size,ideal_frame_size,diff,current_thinness,current_tone,current_size
1142,Rock climbing,Female,4-Attracted to men more than women,31,22,"White, Caucasian",No,Yes,No,Yes,No,No,No,Yes,No,walkung,10 or more years,Two days a week,About 50%,5,2,-3,1,1,3
1143,Rock climbing,Female,4-Attracted to men more than women,36,22,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,10 or more years,Two days a week,About 75%,7,5,-2,1,4,4
1144,Rock climbing,Female,5-Attracted to men exclusively,28,16,Other,No,No,No,Yes,No,Yes,Yes,Yes,Yes,,1-3 years,Two days a week,Less than 25%,6,4,-2,1,2,2
1145,Rock climbing,Female,4-Attracted to men more than women,39,16,"White, Caucasian",No,No,No,Yes,Yes,Yes,No,Yes,No,,1-3 years,One day a week,About 25%,4,4,0,1,1,2
1146,Rock climbing,Female,3-Attracted to women and men equally,47,20,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,,4-6 years,Two days a week,About 50%,7,3,-4,1,2,3
1147,Rock climbing,Female,5-Attracted to men exclusively,49,22,"White, Caucasian",No,No,No,Yes,No,No,No,No,No,Kayak ,10 or more years,One day a week,About 25%,7,5,-2,1,1,3
1148,Rock climbing,Female,4-Attracted to men more than women,35,18,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,4-6 years,Two days a week,About 50%,6,4,-2,2,2,2
1149,Rock climbing,Female,5-Attracted to men exclusively,21,15,"White, Caucasian",Yes,No,No,Yes,Yes,No,No,Yes,No,,Less than 1 year,Three days a week,Less than 25%,6,3,-3,1,1,2
1150,Rock climbing,Female,5-Attracted to men exclusively,27,16,"White, Caucasian",No,No,No,Yes,No,No,No,No,No,,1-3 years,Two days a week,Less than 25%,2,2,0,3,4,3
1151,Rock climbing,Female,5-Attracted to men exclusively,27,18,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,Dance,1-3 years,Two days a week,About 25%,7,5,-2,1,2,3
1152,Rock climbing,Female,4-Attracted to men more than women,43,18,Asian,No,No,No,Yes,No,No,No,Yes,No,,4-6 years,One day a week,About 50%,7,4,-3,1,1,2
1153,Rock climbing,Female,5-Attracted to men exclusively,42,14,"White, Caucasian",Yes,No,No,Yes,No,No,No,No,No,Salsa Dancing 2x a week,4-6 years,Two days a week,Less than 25%,5,4,-1,1,3,3
1154,Rock climbing,Female,5-Attracted to men exclusively,34,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,4-6 years,Two days a week,About 50%,2,2,0,3,4,2
1155,Rock climbing,Female,4-Attracted to men more than women,35,18,Asian,No,No,No,Yes,Yes,No,No,Yes,No,,4-6 years,One day a week,About 25%,7,3,-4,1,2,3
1156,Rock climbing,Female,5-Attracted to men exclusively,41,12,"White, Caucasian",No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bootcamp Classes,4-6 years,Three days a week,About 50%,5,3,-2,1,3,3
1157,Rock climbing,Female,5-Attracted to men exclusively,33,19,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,No,,Less than 1 year,Four days a week,About 25%,4,4,0,2,3,3
1158,Rock climbing,Female,3-Attracted to women and men equally,22,14,"White, Caucasian",No,Yes,No,Yes,No,No,No,Yes,No,Dance,1-3 years,Three days a week,About 75%,6,4,-2,2,1,2
1159,Rock climbing,Female,4-Attracted to men more than women,30,18,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,4-6 years,Three days a week,About 25%,5,4,-1,2,3,3
1160,Rock climbing,Female,4-Attracted to men more than women,31,18,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,4-6 years,Two days a week,About 25%,4,4,0,1,3,3
1161,Rock climbing,Female,5-Attracted to men exclusively,36,18,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,,7-9 years,Two days a week,About 50%,6,4,-2,1,3,4
1162,Rock climbing,Female,1-Attracted to women exclusively,26,16,"White, Caucasian",No,Yes,No,Yes,No,Yes,No,Yes,Yes,,Less than 1 year,Three days a week,About 50%,2,2,0,4,2,2
1163,Rock climbing,Female,5-Attracted to men exclusively,48,18,"White, Caucasian",No,No,No,Yes,No,Yes,No,Yes,Yes,kayaking,4-6 years,Three days a week,About 50%,3,2,-1,1,2,2
1164,Rock climbing,Female,4-Attracted to men more than women,41,20,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,10 or more years,Two days a week,About 25%,5,4,-1,2,4,3
1165,Rock climbing,Female,4-Attracted to men more than women,31,18,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,4-6 years,Four days a week,About 50%,5,4,-1,2,2,3
1166,Rock climbing,Female,5-Attracted to men exclusively,27,17,"White, Caucasian",No,No,No,Yes,Yes,No,No,Yes,No,,1-3 years,Three days a week,About 25%,2,2,0,4,3,1
1167,Rock climbing,Female,4-Attracted to men more than women,26,16,Asian,No,No,No,Yes,Yes,No,No,Yes,No,N/a,1-3 years,Three days a week,Less than 25%,4,4,0,1,3,3
1168,Rock climbing,Female,4-Attracted to men more than women,27,21,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,No,Snowboarding,4-6 years,Four days a week,Less than 25%,3,3,0,4,3,5
1169,Rock climbing,Female,5-Attracted to men exclusively,27,16,"White, Caucasian",No,Yes,No,Yes,No,No,No,Yes,Yes,,7-9 years,Two days a week,Less than 25%,5,3,-2,2,2,4
1170,Rock climbing,Female,5-Attracted to men exclusively,28,16,"White, Caucasian",No,Yes,No,Yes,No,No,No,Yes,Yes,Skiing,7-9 years,Three days a week,Less than 25%,4,3,-1,2,3,3
1171,Rock climbing,Female,4-Attracted to men more than women,45,18,"White, Caucasian",No,Yes,No,Yes,No,Yes,No,Yes,No,"skiing, back country and resort",4-6 years,Three days a week,About 50%,5,4,-1,1,2,3
1172,Rock climbing,Female,5-Attracted to men exclusively,21,15,"White, Caucasian",No,Yes,No,Yes,No,No,Yes,Yes,No,,4-6 years,Five days a week,About 50%,4,2,-2,2,2,3
1173,Rock climbing,Female,4-Attracted to men more than women,59,18,"White, Caucasian",No,No,No,Yes,Yes,No,Yes,No,No,"personal training, cardio on the eliptical",10 or more years,Three days a week,About 50%,2,0,-2,3,3,4
1174,Rock climbing,Female,5-Attracted to men exclusively,35,19,Other,No,Yes,No,Yes,Yes,Yes,No,Yes,No,,7-9 years,Four days a week,About 50%,4,4,0,1,2,3
1175,Rock climbing,Female,5-Attracted to men exclusively,27,18,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,No,,4-6 years,Four days a week,Less than 25%,3,3,0,1,3,4
1176,Rock climbing,Female,5-Attracted to men exclusively,62,21,"White, Caucasian",No,No,No,Yes,Yes,Yes,No,Yes,Yes,,10 or more years,Three days a week,About 75%,7,6,-1,1,5,4
3000,Running,Female,4-Attracted to men more than women,28,17,"White, Caucasian",Yes,Yes,No,Yes,Yes,No,No,Yes,No,,Less than 1 year,Three days a week,I do not run with other people.,4,1,-3,1,3,3
3001,Running,Female,5-Attracted to men exclusively,25,16,"White, Caucasian",No,Yes,No,No,Yes,No,No,No,No,,1-3 years,Four days a week,I do not run with other people.,4,4,0,1,2,2
3002,Running,Female,5-Attracted to men exclusively,24,16,"American Indian, Aleutian, or Eskimo",No,Yes,No,No,Yes,No,No,Yes,No,,1-3 years,Four days a week,I do not run with other people.,7,3,-4,1,2,2
3003,Running,Female,5-Attracted to men exclusively,37,19,"Black, African American",No,Yes,No,No,Yes,No,Yes,No,Yes,,1-3 years,Five days a week,I do not run with other people.,4,3,-1,1,1,3
3004,Running,Female,5-Attracted to men exclusively,55,16,"White, Caucasian",No,Yes,No,No,No,No,No,No,No,,7-9 years,Five days a week,I do not run with other people.,4,4,0,2,4,4
3005,Running,Female,5-Attracted to men exclusively,34,22,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,No,No,,4-6 years,Four days a week,About 50%,6,3,-3,1,2,2
3006,Running,Female,5-Attracted to men exclusively,50,17,"White, Caucasian",No,Yes,No,No,Yes,Yes,No,No,Yes,,7-9 years,Six days a week,About 75%,3,1,-2,3,3,1
3007,Running,Female,5-Attracted to men exclusively,30,18,"White, Caucasian",No,Yes,No,No,Yes,Yes,Yes,Yes,No,Barre,1-3 years,Three days a week,I do not run with other people.,6,3,-3,1,1,2
3008,Running,Female,4-Attracted to men more than women,29,18,"White, Caucasian",No,Yes,No,No,No,Yes,Yes,Yes,Yes,,7-9 years,Three days a week,More than 75%,6,4,-2,1,1,3
3009,Running,Female,4-Attracted to men more than women,30,19,Other,Yes,Yes,No,No,No,Yes,No,No,No,Strength Training,4-6 years,Six days a week,I do not run with other people.,5,2,-3,2,3,2
3010,Running,Female,5-Attracted to men exclusively,22,15,"White, Caucasian",No,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,,7-9 years,Six days a week,More than 75%,1,1,0,3,3,1
3011,Running,Female,5-Attracted to men exclusively,29,18,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,Yes,No,,1-3 years,Three days a week,I do not run with other people.,6,4,-2,1,2,3
3012,Running,Female,5-Attracted to men exclusively,41,18,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,No,,1-3 years,Six days a week,About 50%,7,4,-3,1,2,3
3013,Running,Female,4-Attracted to men more than women,21,15,"White, Caucasian",No,Yes,No,Yes,Yes,No,Yes,Yes,No,,Less than 1 year,Four days a week,I do not run with other people.,1,4,3,4,2,2
3014,Running,Female,1-Attracted to women exclusively,24,13,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,Less than 1 year,Four days a week,About 75%,8,3,-5,1,2,3
3015,Running,Female,5-Attracted to men exclusively,25,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,No,"Backcountry Skiing, Cross country skiing, mountain biking",1-3 years,Six days a week,About 25%,4,2,-2,1,2,3
3016,Running,Female,5-Attracted to men exclusively,25,17,"White, Caucasian",No,Yes,No,No,No,No,No,No,No,,10 or more years,Four days a week,I do not run with other people.,8,4,-4,1,3,4
3017,Running,Female,5-Attracted to men exclusively,27,18,"White, Caucasian",No,Yes,No,No,Yes,Yes,No,No,No,Dance,4-6 years,Three days a week,I do not run with other people.,6,4,-2,1,3,3
3018,Running,Female,5-Attracted to men exclusively,39,20,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,Yes,No,,1-3 years,Three days a week,I do not run with other people.,4,2,-2,2,2,4
3019,Running,Female,1-Attracted to women exclusively,28,16,Asian,No,Yes,No,No,No,No,Yes,No,No,,Less than 1 year,Four days a week,I do not run with other people.,4,2,-2,1,2,3
3020,Running,Female,5-Attracted to men exclusively,23,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,,Less than 1 year,Three days a week,I do not run with other people.,5,4,-1,1,1,3
3021,Running,Female,5-Attracted to men exclusively,32,18,"White, Caucasian",No,Yes,No,No,Yes,No,No,No,No,,1-3 years,Three days a week,About 75%,8,7,-1,1,1,3
3022,Running,Female,5-Attracted to men exclusively,23,15,"White, Caucasian",No,Yes,No,No,Yes,No,No,No,No,,7-9 years,Six days a week,More than 75%,3,1,-2,3,3,2
3023,Running,Female,5-Attracted to men exclusively,25,18,Asian,No,Yes,No,No,No,No,No,No,No,,Less than 1 year,Five days a week,I do not run with other people.,8,4,-4,1,1,2
3024,Running,Female,5-Attracted to men exclusively,26,22,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,No,,Less than 1 year,Three days a week,I do not run with other people.,3,3,0,3,1,2
3025,Running,Female,5-Attracted to men exclusively,30,22,Asian,No,Yes,No,No,No,No,Yes,Yes,No,,10 or more years,Six days a week,Less than 25%,4,3,-1,4,4,3
3026,Running,Female,5-Attracted to men exclusively,27,18,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,Yes,No,,10 or more years,Five days a week,I do not run with other people.,3,2,-1,3,4,4
3027,Running,Female,5-Attracted to men exclusively,32,18,"White, Caucasian",No,Yes,No,No,Yes,Yes,Yes,No,Yes,,7-9 years,Six days a week,More than 75%,3,5,2,1,1,5
3028,Running,Female,5-Attracted to men exclusively,28,15,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,No,,10 or more years,Four days a week,I do not run with other people.,3,1,-2,2,3,2
3029,Running,Female,4-Attracted to men more than women,63,18,"White, Caucasian",No,Yes,No,No,No,No,Yes,No,No,,4-6 years,Five days a week,I do not run with other people.,3,2,-1,2,3,2
3030,Running,Female,5-Attracted to men exclusively,29,16,"White, Caucasian",No,Yes,No,No,Yes,No,No,No,Yes,,1-3 years,Six days a week,I do not run with other people.,4,2,-2,3,1,1
3031,Running,Female,4-Attracted to men more than women,25,16,"White, Caucasian",No,Yes,No,No,No,Yes,Yes,Yes,No,,4-6 years,Three days a week,I do not run with other people.,3,2,-1,3,4,2
3032,Running,Female,5-Attracted to men exclusively,31,16,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,No,,Less than 1 year,Four days a week,I do not run with other people.,7,4,-3,1,1,1
3033,Running,Female,5-Attracted to men exclusively,23,16,"White, Caucasian",No,Yes,No,No,No,Yes,Yes,No,No,,10 or more years,Four days a week,I do not run with other people.,4,4,0,2,1,2
3034,Running,Female,5-Attracted to men exclusively,26,17,"White, Caucasian",No,Yes,No,No,No,Yes,No,Yes,No,,4-6 years,Five days a week,Less than 25%,5,4,-1,1,1,2
3035,Running,Female,4-Attracted to men more than women,29,18,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,No,,1-3 years,Five days a week,More than 75%,6,4,-2,1,2,1
3036,Running,Female,5-Attracted to men exclusively,30,22,"White, Caucasian",No,Yes,No,No,No,No,Yes,No,No,,1-3 years,Four days a week,About 50%,4,3,-1,2,2,3
3037,Running,Female,4-Attracted to men more than women,27,18,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,No,No,,1-3 years,Four days a week,I do not run with other people.,4,3,-1,1,3,3
3038,Running,Female,5-Attracted to men exclusively,25,16,"White, Caucasian",No,Yes,No,No,No,Yes,No,No,No,Spin Class,1-3 years,Three days a week,About 50%,5,1,-4,1,2,3
3039,Running,Female,5-Attracted to men exclusively,29,19,Asian,No,Yes,No,No,No,No,No,Yes,No,,1-3 years,Four days a week,I do not run with other people.,6,4,-2,1,2,3
3040,Running,Female,5-Attracted to men exclusively,24,17,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,No,,1-3 years,Four days a week,About 50%,7,3,-4,1,3,2
3041,Running,Female,5-Attracted to men exclusively,55,18,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,Yes,,10 or more years,Four days a week,More than 75%,5,3,-2,1,2,2
3042,Running,Female,5-Attracted to men exclusively,22,15,Asian,No,Yes,No,No,No,No,Yes,Yes,No,,1-3 years,Three days a week,I do not run with other people.,1,1,0,1,1,2
3043,Running,Female,3-Attracted to women and men equally,39,16,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,Yes,Yes,,10 or more years,Four days a week,I do not run with other people.,6,3,-3,1,2,3
3044,Running,Female,5-Attracted to men exclusively,26,16,"White, Caucasian",No,Yes,No,No,No,Yes,Yes,No,No,,1-3 years,Four days a week,I do not run with other people.,8,1,-7,5,2,3
3045,Running,Female,5-Attracted to men exclusively,27,20,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,No,No,,7-9 years,Six days a week,About 25%,2,0,-2,3,1,1
3046,Running,Female,5-Attracted to men exclusively,42,16,Asian,No,Yes,No,No,Yes,Yes,No,No,No,,1-3 years,Three days a week,I do not run with other people.,4,1,-3,1,1,3
3047,Running,Female,5-Attracted to men exclusively,34,18,"White, Caucasian",No,Yes,No,No,No,Yes,No,No,No,,4-6 years,Five days a week,I do not run with other people.,4,2,-2,1,3,2
3048,Running,Female,4-Attracted to men more than women,28,17,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,Yes,No,,1-3 years,Three days a week,I do not run with other people.,5,4,-1,2,2,3
3049,Running,Female,5-Attracted to men exclusively,40,20,"White, Caucasian",No,Yes,No,No,No,No,Yes,Yes,Yes,,4-6 years,Four days a week,About 50%,7,7,0,1,5,5
3050,Running,Female,2-Attracted to women more than men,25,16,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,No,No,,Less than 1 year,Four days a week,I do not run with other people.,8,5,-3,1,1,5
3051,Running,Female,5-Attracted to men exclusively,31,19,"White, Caucasian",No,Yes,No,No,Yes,Yes,Yes,Yes,No,,Less than 1 year,Four days a week,I do not run with other people.,3,2,-1,3,2,1
3052,Running,Female,4-Attracted to men more than women,23,16,"White, Caucasian",No,Yes,No,No,No,Yes,Yes,No,No,,7-9 years,Five days a week,I do not run with other people.,2,2,0,4,2,2
3053,Running,Female,5-Attracted to men exclusively,25,19,Asian,No,Yes,No,No,No,No,Yes,No,No,,4-6 years,Six days a week,I do not run with other people.,6,5,-1,1,4,4
3054,Running,Female,5-Attracted to men exclusively,27,19,"White, Caucasian",No,Yes,No,No,No,No,No,No,No,Walking,Less than 1 year,Three days a week,I do not run with other people.,7,3,-4,1,2,2
3055,Running,Female,5-Attracted to men exclusively,20,14,Asian,No,Yes,No,No,No,Yes,No,No,No,,1-3 years,Four days a week,Less than 25%,5,4,-1,2,1,2
3056,Running,Female,4-Attracted to men more than women,42,16,Other,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Kickboxing,4-6 years,Three days a week,More than 75%,5,4,-1,2,3,3
3057,Running,Female,2-Attracted to women more than men,24,17,"Black, African American",No,Yes,No,Yes,No,No,No,Yes,Yes,,1-3 years,Three days a week,About 75%,3,3,0,4,3,1
3058,Running,Female,5-Attracted to men exclusively,34,22,"White, Caucasian",No,Yes,No,No,Yes,No,No,Yes,No,,Less than 1 year,Four days a week,I do not run with other people.,3,2,-1,2,3,3
3059,Running,Female,5-Attracted to men exclusively,30,20,"White, Caucasian",No,Yes,No,No,No,Yes,Yes,Yes,No,,4-6 years,Three days a week,I do not run with other people.,6,4,-2,1,1,3
3060,Running,Female,3-Attracted to women and men equally,59,12,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,Yes,No,,10 or more years,Five days a week,More than 75%,2,2,0,3,3,2
3061,Running,Female,5-Attracted to men exclusively,33,19,"White, Caucasian",No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,1-3 years,Four days a week,I do not run with other people.,6,2,-4,1,1,2
3062,Running,Female,5-Attracted to men exclusively,26,20,"White, Caucasian",No,Yes,No,No,No,Yes,Yes,Yes,No,,10 or more years,Five days a week,I do not run with other people.,1,3,2,2,2,1
3063,Running,Female,5-Attracted to men exclusively,30,22,"White, Caucasian",No,Yes,No,No,No,Yes,No,No,No,,4-6 years,Four days a week,I do not run with other people.,5,4,-1,2,2,2
3064,Running,Female,5-Attracted to men exclusively,29,21,"White, Caucasian",No,Yes,No,Yes,Yes,Yes,No,No,No,,1-3 years,Three days a week,I do not run with other people.,3,3,0,3,4,4
3065,Running,Female,5-Attracted to men exclusively,46,20,"White, Caucasian",No,Yes,No,No,Yes,Yes,No,Yes,No,,1-3 years,Five days a week,More than 75%,3,2,-1,3,2,2
3066,Running,Female,4-Attracted to men more than women,25,19,"White, Caucasian",No,Yes,No,No,No,No,Yes,Yes,Yes,rowing,10 or more years,Three days a week,More than 75%,5,3,-2,1,3,2
3067,Running,Female,5-Attracted to men exclusively,22,15,"White, Caucasian",No,Yes,No,No,Yes,Yes,No,Yes,No,,4-6 years,Six days a week,I do not run with other people.,3,3,0,2,2,1
3068,Running,Female,5-Attracted to men exclusively,36,16,"White, Caucasian",No,Yes,No,No,Yes,No,No,Yes,No,,10 or more years,Three days a week,I do not run with other people.,6,3,-3,1,3,4
3069,Running,Female,4-Attracted to men more than women,26,17,"White, Caucasian",No,Yes,No,No,No,No,No,No,No,,Less than 1 year,Four days a week,I do not run with other people.,6,4,-2,1,2,3
3070,Running,Female,5-Attracted to men exclusively,24,16,"White, Caucasian",No,Yes,No,No,No,No,No,No,No,,7-9 years,Three days a week,I do not run with other people.,2,2,0,4,3,1
3071,Running,Female,4-Attracted to men more than women,30,18,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,Yes,,1-3 years,Five days a week,I do not run with other people.,5,2,-3,1,2,3
3072,Running,Female,5-Attracted to men exclusively,22,14,"White, Caucasian",Yes,Yes,No,No,No,No,No,No,No,,4-6 years,Five days a week,Less than 25%,3,1,-2,3,3,1
3073,Running,Female,5-Attracted to men exclusively,41,14,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,Yes,No,No,,1-3 years,Five days a week,I do not run with other people.,6,5,-1,1,2,2
3074,Running,Female,2-Attracted to women more than men,28,19,"White, Caucasian",No,Yes,No,No,Yes,No,No,Yes,Yes,,1-3 years,Three days a week,More than 75%,7,4,-3,1,2,2
3075,Running,Female,5-Attracted to men exclusively,24,18,"White, Caucasian",No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,,1-3 years,Four days a week,About 50%,2,2,0,4,4,1
3076,Running,Female,2-Attracted to women more than men,26,20,"White, Caucasian",No,Yes,No,No,No,Yes,No,Yes,No,,1-3 years,Five days a week,I do not run with other people.,3,1,-2,3,3,3
3077,Running,Female,4-Attracted to men more than women,32,16,"White, Caucasian",No,Yes,No,No,Yes,Yes,Yes,Yes,No,,1-3 years,Four days a week,More than 75%,7,5,-2,1,2,3
3078,Running,Female,5-Attracted to men exclusively,29,16,"White, Caucasian",No,Yes,No,No,No,No,Yes,Yes,Yes,,Less than 1 year,Four days a week,I do not run with other people.,2,1,-1,4,2,2
3079,Running,Female,5-Attracted to men exclusively,35,16,"White, Caucasian",No,Yes,No,No,Yes,No,No,No,No,Strength training,7-9 years,Four days a week,More than 75%,5,6,1,1,1,1
3080,Running,Female,4-Attracted to men more than women,26,16,"White, Caucasian",No,Yes,No,No,No,Yes,No,Yes,No,,Less than 1 year,Four days a week,I do not run with other people.,8,4,-4,1,1,1
3081,Running,Female,5-Attracted to men exclusively,39,14,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,Yes,No,,10 or more years,Five days a week,I do not run with other people.,5,5,0,1,3,5
3082,Running,Female,5-Attracted to men exclusively,20,13,Asian,No,Yes,No,No,No,Yes,Yes,Yes,Yes,,4-6 years,Seven days a week,More than 75%,5,3,-2,1,2,3
3083,Running,Female,5-Attracted to men exclusively,24,16,"White, Caucasian",Yes,Yes,No,No,No,Yes,Yes,Yes,No,,Less than 1 year,Three days a week,Less than 25%,6,3,-3,1,1,3
3084,Running,Female,5-Attracted to men exclusively,25,17,Asian,No,Yes,No,No,Yes,No,Yes,Yes,No,,1-3 years,Three days a week,I do not run with other people.,4,3,-1,2,1,2
3085,Running,Female,5-Attracted to men exclusively,26,18,"White, Caucasian",No,Yes,No,No,No,Yes,No,No,Yes,General gym/strength training,1-3 years,Four days a week,About 25%,4,4,0,2,3,4
3086,Running,Female,5-Attracted to men exclusively,28,19,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,No,No,,4-6 years,Three days a week,I do not run with other people.,1,1,0,4,3,1
3087,Running,Female,5-Attracted to men exclusively,30,16,"White, Caucasian",No,Yes,No,No,Yes,Yes,No,Yes,No,,1-3 years,Three days a week,I do not run with other people.,2,1,-1,4,3,2
3088,Running,Female,5-Attracted to men exclusively,24,16,"White, Caucasian",No,Yes,No,No,Yes,No,No,No,No,,1-3 years,Four days a week,I do not run with other people.,4,1,-3,2,1,2
3089,Running,Female,5-Attracted to men exclusively,30,21,"White, Caucasian",No,Yes,No,No,No,Yes,No,No,No,,4-6 years,Seven days a week,More than 75%,4,3,-1,1,2,2
3090,Running,Female,4-Attracted to men more than women,24,16,"White, Caucasian",No,Yes,No,No,Yes,No,No,Yes,No,,4-6 years,Two days a week,I do not run with other people.,3,2,-1,2,1,1
3091,Running,Female,5-Attracted to men exclusively,42,20,"White, Caucasian",No,Yes,No,No,Yes,No,Yes,No,Yes,,7-9 years,Six days a week,About 75%,3,3,0,3,3,2
3092,Running,Female,5-Attracted to men exclusively,25,16,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,No,,7-9 years,Three days a week,I do not run with other people.,4,1,-3,2,1,3
3093,Running,Female,5-Attracted to men exclusively,,16,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,No,,1-3 years,Three days a week,Less than 25%,2,2,0,2,1,2
3094,Running,Female,5-Attracted to men exclusively,27,21,Asian,No,Yes,No,No,Yes,No,Yes,No,No,,4-6 years,Four days a week,Less than 25%,4,1,-3,2,2,2
3095,Running,Female,4-Attracted to men more than women,26,16,"White, Caucasian",No,Yes,No,No,No,No,No,Yes,No,,4-6 years,Three days a week,About 50%,6,4,-2,1,2,2
3096,Running,Female,5-Attracted to men exclusively,28,21,"White, Caucasian",No,Yes,No,No,Yes,Yes,No,Yes,Yes,Walking,10 or more years,Three days a week,I do not run with other people.,6,5,-1,1,2,3
3097,Running,Female,4-Attracted to men more than women,28,20,"White, Caucasian",No,Yes,No,No,Yes,No,No,No,No,,10 or more years,Seven days a week,About 50%,1,1,0,4,3,2
3098,Running,Female,4-Attracted to men more than women,32,18,"White, Caucasian",No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,10 or more years,Three days a week,I do not run with other people.,4,4,0,2,2,3
3099,Running,Female,5-Attracted to men exclusively,33,22,Other,No,Yes,No,No,No,No,Yes,No,No,,10 or more years,Five days a week,Less than 25%,1,1,0,3,4,3
3100,Running,Female,5-Attracted to men exclusively,23,16,"White, Caucasian",No,Yes,No,No,No,No,Yes,No,No,,1-3 years,Three days a week,I do not run with other people.,3,3,0,2,2,2
3101,Running,Female,4-Attracted to men more than women,27,18,"White, Caucasian",No,Yes,No,No,No,No,No,No,No,,1-3 years,Five days a week,More than 75%,7,4,-3,1,3,2
3102,Running,Female,4-Attracted to men more than women,23,16,"White, Caucasian",No,Yes,No,No,No,Yes,No,No,Yes,,Less than 1 year,Three days a week,I do not run with other people.,6,3,-3,1,1,2
3103,Running,Female,5-Attracted to men exclusively,21,14,Asian,No,Yes,No,Yes,No,No,No,Yes,No,Ultimate Frisbee,Less than 1 year,Five days a week,I do not run with other people.,5,3,-2,1,2,3
3104,Running,Female,5-Attracted to men exclusively,28,16,"White, Caucasian",No,Yes,No,No,Yes,Yes,No,Yes,No,,4-6 years,Three days a week,I do not run with other people.,6,3,-3,1,1,2
3105,Running,Female,5-Attracted to men exclusively,28,16,"White, Caucasian",No,Yes,No,Yes,Yes,No,No,Yes,No,,Less than 1 year,Four days a week,I do not run with other people.,5,3,-2,2,2,2
3106,Running,Female,5-Attracted to men exclusively,27,16,"White, Caucasian",No,Yes,No,No,Yes,Yes,No,Yes,No,,1-3 years,Four days a week,I do not run with other people.,4,3,-1,3,3,2
3107,Running,Female,5-Attracted to men exclusively,48,22,"White, Caucasian",No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,7-9 years,Four days a week,I do not run with other people.,7,5,-2,1,1,3
3108,Running,Female,5-Attracted to men exclusively,27,22,"White, Caucasian",No,Yes,No,No,No,No,No,No,No,,10 or more years,Three days a week,I do not run with other people.,4,1,-3,2,1,2
3109,Running,Female,3-Attracted to women and men equally,30,22,"White, Caucasian",No,Yes,No,No,No,No,Yes,No,No,Horseback riding,4-6 years,Six days a week,About 75%,4,3,-1,2,2,2
3110,Running,Female,4-Attracted to men more than women,34,22,"White, Caucasian",No,Yes,No,No,No,No,Yes,Yes,No,,Less than 1 year,Four days a week,About 75%,4,3,-1,2,1,2
